2016-10-20 18:27:44 status unpacked libsemanage1:armhf 2.3-1+b1
2016-10-20 18:27:44 install libsepol1:armhf <none> 2.3-2
2016-10-20 18:27:44 status half-installed libsepol1:armhf 2.3-2
2016-10-20 18:27:44 status unpacked libsepol1:armhf 2.3-2
2016-10-20 18:27:44 status unpacked libsepol1:armhf 2.3-2
2016-10-20 18:27:44 install libtext-charwidth-perl:armhf <none> 0.04-7+b4
2016-10-20 18:27:44 status half-installed libtext-charwidth-perl:armhf 0.04-7+b4
2016-10-20 18:27:44 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2016-10-20 18:27:44 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2016-10-20 18:27:44 install libtext-iconv-perl:armhf <none> 1.7-5+b2
2016-10-20 18:27:44 status half-installed libtext-iconv-perl:armhf 1.7-5+b2
2016-10-20 18:27:44 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2016-10-20 18:27:44 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2016-10-20 18:27:44 install libtext-wrapi18n-perl:all <none> 0.06-7
2016-10-20 18:27:44 status half-installed libtext-wrapi18n-perl:all 0.06-7
2016-10-20 18:27:44 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-10-20 18:27:44 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-10-20 18:27:45 install lsb-base:all <none> 4.1+Debian13+nmu1
2016-10-20 18:27:45 status half-installed lsb-base:all 4.1+Debian13+nmu1
2016-10-20 18:27:45 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-10-20 18:27:45 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-10-20 18:27:45 install dmsetup:armhf <none> 2:1.02.90-2.2+deb8u1
2016-10-20 18:27:45 status half-installed dmsetup:armhf 2:1.02.90-2.2+deb8u1
2016-10-20 18:27:45 status unpacked dmsetup:armhf 2:1.02.90-2.2+deb8u1
2016-10-20 18:27:45 status unpacked dmsetup:armhf 2:1.02.90-2.2+deb8u1
2016-10-20 18:27:45 install libdevmapper1.02.1:armhf <none> 2:1.02.90-2.2+deb8u1
2016-10-20 18:27:45 status half-installed libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2016-10-20 18:27:45 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2016-10-20 18:27:45 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2016-10-20 18:27:45 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2016-10-20 18:27:45 status half-configured mawk:armhf 1.3.3-17
2016-10-20 18:27:45 status unpacked mawk:armhf 1.3.3-17
2016-10-20 18:27:45 status half-installed mawk:armhf 1.3.3-17
2016-10-20 18:27:45 status half-installed mawk:armhf 1.3.3-17
2016-10-20 18:27:45 status unpacked mawk:armhf 1.3.3-17
2016-10-20 18:27:45 status unpacked mawk:armhf 1.3.3-17
2016-10-20 18:27:45 install libncurses5:armhf <none> 5.9+20140913-1+b1
2016-10-20 18:27:45 status half-installed libncurses5:armhf 5.9+20140913-1+b1
2016-10-20 18:27:46 status unpacked libncurses5:armhf 5.9+20140913-1+b1
2016-10-20 18:27:46 status unpacked libncurses5:armhf 5.9+20140913-1+b1
2016-10-20 18:27:46 install libncursesw5:armhf <none> 5.9+20140913-1+b1
2016-10-20 18:27:46 status half-installed libncursesw5:armhf 5.9+20140913-1+b1
2016-10-20 18:27:46 status unpacked libncursesw5:armhf 5.9+20140913-1+b1
2016-10-20 18:27:46 status unpacked libncursesw5:armhf 5.9+20140913-1+b1
2016-10-20 18:27:46 install libtinfo5:armhf <none> 5.9+20140913-1+b1
2016-10-20 18:27:46 status half-installed libtinfo5:armhf 5.9+20140913-1+b1
2016-10-20 18:27:46 status unpacked libtinfo5:armhf 5.9+20140913-1+b1
2016-10-20 18:27:46 status unpacked libtinfo5:armhf 5.9+20140913-1+b1
2016-10-20 18:27:46 install ncurses-base:all <none> 5.9+20140913-1
2016-10-20 18:27:46 status half-installed ncurses-base:all 5.9+20140913-1
2016-10-20 18:27:46 status unpacked ncurses-base:all 5.9+20140913-1
2016-10-20 18:27:46 status unpacked ncurses-base:all 5.9+20140913-1
2016-10-20 18:27:46 install ncurses-bin:armhf <none> 5.9+20140913-1+b1
2016-10-20 18:27:46 status half-installed ncurses-bin:armhf 5.9+20140913-1+b1
2016-10-20 18:27:47 status unpacked ncurses-bin:armhf 5.9+20140913-1+b1
2016-10-20 18:27:47 status unpacked ncurses-bin:armhf 5.9+20140913-1+b1
2016-10-20 18:27:47 install libpam-modules:armhf <none> 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:47 status half-installed libpam-modules:armhf 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:47 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:48 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:48 install libpam-modules-bin:armhf <none> 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:48 status half-installed libpam-modules-bin:armhf 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:48 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:48 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:48 install libpam-runtime:all <none> 1.1.8-3.1+deb8u1
2016-10-20 18:27:48 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u1
2016-10-20 18:27:48 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-10-20 18:27:48 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-10-20 18:27:48 install libpam0g:armhf <none> 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:48 status half-installed libpam0g:armhf 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:49 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:49 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u1+b1
2016-10-20 18:27:49 install libpcre3:armhf <none> 2:8.35-3.3+deb8u4
2016-10-20 18:27:49 status half-installed libpcre3:armhf 2:8.35-3.3+deb8u4
2016-10-20 18:27:49 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2016-10-20 18:27:49 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2016-10-20 18:27:49 upgrade perl-base:armhf 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2016-10-20 18:27:49 status half-configured perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:49 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:49 status half-installed perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:50 status half-installed perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:50 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:50 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:50 install libprocps3:armhf <none> 2:3.3.9-9
2016-10-20 18:27:50 status half-installed libprocps3:armhf 2:3.3.9-9
2016-10-20 18:27:50 status unpacked libprocps3:armhf 2:3.3.9-9
2016-10-20 18:27:50 status unpacked libprocps3:armhf 2:3.3.9-9
2016-10-20 18:27:50 install procps:armhf <none> 2:3.3.9-9
2016-10-20 18:27:50 status half-installed procps:armhf 2:3.3.9-9
2016-10-20 18:27:51 status unpacked procps:armhf 2:3.3.9-9
2016-10-20 18:27:51 status unpacked procps:armhf 2:3.3.9-9
2016-10-20 18:27:51 install sed:armhf <none> 4.2.2-4+b1
2016-10-20 18:27:51 status half-installed sed:armhf 4.2.2-4+b1
2016-10-20 18:27:51 status unpacked sed:armhf 4.2.2-4+b1
2016-10-20 18:27:51 status unpacked sed:armhf 4.2.2-4+b1
2016-10-20 18:27:51 install sensible-utils:all <none> 0.0.9
2016-10-20 18:27:51 status half-installed sensible-utils:all 0.0.9
2016-10-20 18:27:51 status unpacked sensible-utils:all 0.0.9
2016-10-20 18:27:51 status unpacked sensible-utils:all 0.0.9
2016-10-20 18:27:51 install login:armhf <none> 1:4.2-3+deb8u1
2016-10-20 18:27:51 status half-installed login:armhf 1:4.2-3+deb8u1
2016-10-20 18:27:52 status unpacked login:armhf 1:4.2-3+deb8u1
2016-10-20 18:27:52 status unpacked login:armhf 1:4.2-3+deb8u1
2016-10-20 18:27:52 install passwd:armhf <none> 1:4.2-3+deb8u1
2016-10-20 18:27:52 status half-installed passwd:armhf 1:4.2-3+deb8u1
2016-10-20 18:27:53 status unpacked passwd:armhf 1:4.2-3+deb8u1
2016-10-20 18:27:53 status unpacked passwd:armhf 1:4.2-3+deb8u1
2016-10-20 18:27:53 install libslang2:armhf <none> 2.3.0-2
2016-10-20 18:27:53 status half-installed libslang2:armhf 2.3.0-2
